公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址,公司網站內公司治理資訊專區網址,股本(億元)
1101,臺灣水泥股份有限公司,台泥,水泥工業,－,台北市中山北路2段113號,11913502,張安平,程耀輝,葉毓君,永續長,賴家柔,(02)2531-7099,1950/12/29,1962/02/09,新台幣                 10.0000元,77511817420,7551181742,0,200000000,合併,每年,股東會,中國信託商業銀行代理部,66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,翁雅玲,黃惠敏,TCC,"No.113, Sec.2, Zhongshan N. Rd.,Taipei City 104,Taiwan (R.O.C.)",(02)2531-6529,finance@taiwancement.com,https://www.tccgroupholdings.com/tw/,永續辦公室,永續辦公室,02-25317099,ir@taiwancement.com,https://www.tccgroupholdings.com/tw/esgStakeholder.html,https://www.tccgroupholdings.com/tw/ir_index.html,775.1181742
1102,亞洲水泥股份有限公司,亞泥,水泥工業,－,台北市大安區敦化南路2段207號30、31樓,3244509,徐旭東,李坤炎,王照宇,協理,楊淯玲,02-2733-8000,1957/03/21,1962/06/08,新台幣                 10.0000元,35465628810,3546562881,0,0,合併,每季,董事會,亞東證券股份有限公司,02-7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,戴信維,池瑞全,ACC,"30-31F., No.207, Sec. 2, Dunhua S. Rd., Da' an Dist., Taipei City 106, TaiwanTAIPEI,TAIWAN,R.O.C",02-2736-6263,service@acc.com.tw,www.acc.com.tw,陳韋仲,投資人關係經理,02 27338000 ext.8336,ir@acc.com.tw,https://www.acc.com.tw/esg/stakeholders,https://www.acc.com.tw/about-us/corporate-governance,354.6562881
1103,嘉新水泥股份有限公司,嘉泥,水泥工業,－,台北市中山北路二段96號,11892801,張剛綸,王立心,金哲毅,董事會秘書室資深經理,馮文裕,(02)2551-5211,1954/12/13,1969/11/14,新台幣                 10.0000元,7902474590,790247459,0,0,合併,每年,股東會,群益金鼎證券股份有限公司股代部,(02)2702-3999,台北市敦化南路2段97號地下2樓,勤業眾信聯合會計師事務所,陳薔旬,梁盛泰,CHC,"No.96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.Taipei City 10449, Taiwan (R.O.C.)",(02)2511-4002,ir@chcgroup.com.tw,www.chcgroup.com.tw,金哲毅,董事會秘書室資深經理,(02)2551-5211#277,ir@chcgroup.com.tw,www.chcgroup.com.tw/index.php?route=system/system&id=89,www.chcgroup.com.tw/?page_id=32650,79.0247459
1104,環球水泥股份有限公司,環泥,水泥工業,－,台北市南京東路二段125號10樓,7568009,博智投資股份有限公司,侯智升,楊宗仁,副總經理,高琮堯,02-25077801,1960/03/21,1971/02/01,新台幣                 10.0000元,6866818160,686681816,0,0,合併,每年,股東會,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,UCC,"10th F., 125 Nanking E.Rd Sec. 2,Taipei Taiwan",02-25075870,ucc@ucctw.com,www.ucctw.com,楊宗仁,副總經理,02-2507-7801,p1590@ucctw.com,http://www.ucctw.com/m/412-1518-12822.php?Lang=zh-tw,http://www.ucctw.com/m/412-1518-19258.php?Lang=zh-tw,68.6681816
1108,幸福水泥股份有限公司,幸福,水泥工業,－,台北市松江路237號15樓,40601248,陳韻如,陳明賢,溫秀菊,財務部經理,陳一誠,25092188,1974/05/07,1990/06/06,新台幣                 10.0000元,4047380490,404738049,0,0,合併,每半會計年度,股東會,永豐金證券股務代理,2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,陳招美,陳薔旬,LUCKY CEMENT,"15TH FL.,NO.237,SUNG KIANG RD.,TAIPEI,TAIWAN,R.O.C.",25048672,wendy@luckygrp.com.tw,www.luckygrp.com.tw,溫秀菊,財務部經理,25092188,wendy@luckygrp.com.tw,http://www.luckygrp.com.tw/tw/index.asp?au_id=66&sub_id=79,https://www.luckygrp.com.tw/tw/index.asp?au_id=7&sub_id=45,40.4738049
1109,信大水泥股份有限公司,信大,水泥工業,－,台北市寶慶路37號7樓,3279507,楊智雄,楊大寬,張清壽,資深協理,蔡素秋,(02)23816731,1964/03/15,1991/12/05,新台幣                 10.0000元,3411588680,341158868,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北巿重慶南路一段83號5樓,資誠聯合會計師事務所,李秀玲,支秉鈞,HsingTa,"No. 37, 7F, Baoqing Rd.,Taipei City 100, Taiwan (R.O.C.)",23314086,service@hsingta.com.tw,www.hsingta.com.tw,蔡素秋,財會部經理,02-23816731#160,emily@hsingta.com.tw,http://www.hsingta.com.tw/Aboutusdetail.asp?lv=-1&id=14,https://www.hsingta.com.tw/Download.asp?lv=0&id=7,34.1158868
1110,東南水泥股份有限公司,東泥,水泥工業,－,高雄市前金區五福三路21號4樓之1,83078600,陳敏斷,吳炎輝,黃薪翰,財務部副總經理,唐榮宗,07-2711121,1956/12/28,1994/10/22,新台幣                 10.0000元,5720007970,572000797,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,臺北市大安區敦化南路2段67號地下一樓,國富浩華聯合會計師事務所,黃致富,黃鈴雯,SE CEMENT,"NO.21 Wu Fu 3 RoadKaohsiung, Taiwan, R.O.C.",07-9505895,southeast@secement.com,www.southeastcement.com.tw,黃薪翰,財務部副總經理,07-2711121,vance.huang@secement.com,http://www.southeastcement.com.tw/index.php?q=node/175,http://www.southeastcement.com.tw/index.php?q=corporate_governance,57.2000797
1201,味全食品工業股份有限公司,味全,食品工業,－,台北市松江路125號,11347802,徐文芳,滕以勇,李文學,財務長,待補,(02)25065020,1953/09/22,1962/02/09,新台幣                 10.0000元,5060629140,506062914,0,0,合併,每年,董事會,元大證券股務代理部,(02)25865859,臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,黃世鈞,葉翠苗,WEI CHUAN,"10F., No.125, Sung Chiang Rd.Taipei, Taiwan, R.O.C.",(02)25063182,service@weichuan.com.tw,https://www.weichuan.com.tw,李文學,財務長,(02)25065020,li_wenxue@weichuan.com.cn,https://www.weichuan.com.tw/tw/sustainability/stakeholder#gsc.tab=0,https://www.weichuan.com.tw/tw/investor#gsc.tab=0,50.6062914
1210,大成長城企業股份有限公司,大成,食品工業,－,台南市永康區蔦松二街三號,73008303,韓家宇,韓芳豪,夏銜譽,副總經理,許博涵,06-2531111,1960/12/28,1978/05/20,新台幣                 10.0000元,8947672220,894767222,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號六樓,安侯建業會計師事務所,李逢暉,蔡佩汝,GREATWALL,3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN,06-2534596,ir@ms.greatwall.com.tw,http://www.dachan.com,夏銜譽,副總經理,02-26577111,ir@ms.greatwall.com.tw,https://www.dachan.com/shareholder,https://www.dachan.com/investor/governance,89.4767222
1215,台灣卜蜂企業股份有限公司,卜蜂,食品工業,－,台北市松江路八十七號十七樓,36514783,鄭武樾,許瑞通,劉明哲,特別助理,謝筱芬,02-25077071,1977/08/22,1987/07/27,新台幣                 10.0000元,2947900980,294790098,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,廖福銘,蔡蓓華,CPE,"17F., No. 87, Songjiang Rd.Taipei City, Taiwan 104",02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw,劉明哲,特別助理,02-25077071,service@cptwn.com.tw,https://www.cptwn.com.tw/ec99/rwd1785/category.asp?category_id=29,https://www.cptwn.com.tw/ec99/rwd1785/category.asp?category_id=22,29.4790098
1216,統一企業股份有限公司,統一,食品工業,－,71001台南市永康區中正路301號,73251209,羅智先,郭慶峰,陳國煇,財務長,&#20931;忠正,(06)253-2121,1967/08/25,1987/12/28,新台幣                 10.0000元,56820154210,5682015421,0,0,合併,每年,股東會,統一綜合證券(股)公司股務代理部,(02)2746-3797,10570台北市松山區東興路8號統一大樓地下室一樓,資誠聯合會計師事務所,田中玉,吳建志,UNI-PRESIDENT,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",(06)253-2661,jlian@mail.pec.com.tw,https://www.uni-president.com.tw,吳婉瑜,課長,(02)8786-6888-2536,public@mail.pec.com.tw,https://www.uni-president.com.tw/,https://www.uni-president.com.tw/invest/board.html,568.2015421
