公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址,公司網站內公司治理資訊專區網址,股本(億元)
1203,味王股份有限公司,味王,食品工業,－,台北市中山北路二段79號5樓,7067309,陳清福,陳恭平,魏璟雄,協理,李兆弘,(02)25717271,1959/07/04,1964/08/24,新台幣                 10.0000元,2400000000,240000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號地下2樓,大中國際聯合會計師事務所,溫明郁,張卉諭,VE WONG,"5TH FL., 79 CHUNG SHAN N. RD., SEC.2TAIPEI TAIWAN",(02)25811006,wei@vewong.com.tw,https://www.vewong.com/,魏璟雄,協理,(02)25717271-610,wei@vewong.com.tw,https://www.vewong.com/ec99/ushop20069/profile-9.asp,https://www.vewong.com/ec99/ushop20069/profile-6.asp,24.0
1213,大西洋飲料股份有限公司,大飲,食品工業,－,桃園市平鎮區南勢里2鄰南東路410號,35012903,蘇芸樂,洪松輝,蘇芸樂,董事長,洪松輝,(02)2982-0061,1965/07/24,1981/04/10,新台幣                 10.0000元,566226270,56622627,0,0,合併,每年,股東會,大西洋飲料股份有限公司,(02)2982-0061,新北市三重區重陽路三段99號10樓,南台聯合會計師事務所,丁澤祥,蔡玉琴,OCEANIC Bev.,"No. 410, Nandong Rd., 2nd Neighborhood, Nanshi Vil., Pingzhen Dist., Taoyuan CTaipei Hsien,Taiwan,R.O.C.",(02)2984-1154,c5012903@ms23.hinet.net,http://applesidra.com.tw,林松聖,襄理,02-29820061#235,c5012903@ms23.hinet.net,http://applesidra.com.tw,https://applesidra.com.tw/%e6%8a%95%e8%b3%87%e4%ba%ba%e5%b0%88%e5%8d%80/%e5%85%ac%e5%8f%b8%e6%b2%bb%,5.6622627
1220,台榮產業股份有限公司,台榮,食品工業,－,台北市中山區南京東路二段206號6樓,3543210,倍安利投資有限公司,陳英凱,周忠平,經理,張大慶,(02)2506-9521,1969/03/13,1991/11/20,新台幣                 10.0000元,1770779440,177077944,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,立本台灣聯合會計師事務所,柯俊輝,張鈞鈞,TAIROUN,"6TH FL. NO. 206.  NANKING E. RD., SEC. 2Taipei,Taiwan,ROC",(02)2507-7020,csr@tairoun.com.tw,http://www.tairoun.com.tw/,周忠平,經理,02-25069521#231,grantchou@tairoun.com.tw,https://www.tairoun.com.tw/stake-holder.php,https://www.tairoun.com.tw/index.php,17.7077944
1225,福懋油脂股份有限公司,福懋油,食品工業,－,台中市大肚區沙田路一段453號,22102298,興泰實業股份有限公司(代表人楊淑樺),張志賓,秦慧如,財務副總經理,李建儀,25073121,1986/04/18,1993/09/27,新台幣                 10.0000元,2296382040,229638204,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,群智聯合會計師事務所,呂松裕,張鈞富,FOPCO,"3RD FL,150 NANJING EAST RD, SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.",(02)25071312,cherry.lin@fopco.com.tw,WWW.FOPCO.COM.TW,郭中儀,協理,04-26933621#268,matt.kuo@fopco.com.tw,WWW.FOPCO.COM.TW,https://www.fopco.com.tw/About.php?ADKey=31,22.9638204
1232,大統益股份有限公司,大統益,食品工業,－,台南市官田區二鎮里工業西路32號,20927014,羅智先,陳昭良,陳昭良,總經理,陳冠州,06-698-4500,1982/05/24,1996/02/09,新台幣                 10.0000元,1599749150,159974915,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-2746-3797,台北市東興路8號地下一樓,資誠聯合會計師事務所,徐惠榆,葉芳婷,TTET,"32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, TaiwanTAINAN CITY, TAIWAN",06-698-5530,finance@mail.ttet.com.tw,https://www.ttet.com.tw,陳冠州,經理,06-6984500#800,sam@mail.ttet.com.tw,https://www.ttet.com.tw/index.php?temp=investors&lang=cht,https://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=406&index=1,15.9974915
1233,天仁茶業股份有限公司,天仁,食品工業,－,台北市忠孝東路4段107號6樓,18559415,李建德,陳中智,王華榮,營運部品牌策略副總,謝艾芸,02-27765580,1975/12/11,1999/01/20,新台幣                 10.0000元,905919480,90591948,0,0,合併,每年,董事會,元大證券股份有限公司,02-25865859,臺北市大安區敦化南路2段67號地下一樓,安永聯合會計師事務所,陳智忠,李育儒,Ten Ren,"6F. NO.107,SEC 4, Chung Hsiao East Road,Taipei, Taiwan, ROC",02-27403035,chafortea@tenren.com.tw,http://www.tenren.com.tw/,謝艾芸,公司治理室副理,02-27765580,irene@tenren.com.tw,http://www.tenren.com.tw/Content/IRContactUS/Contact.aspx?SiteID=10&MmmID=654044433016605753,https://www.tenren.com.tw/Content/IRContactUS/Contact.aspx?SiteID=10&MmmID=654044433016605753,9.0591948
1235,興泰實業股份有限公司,興泰,食品工業,－,高雄市仁武區高楠公路10號,85617982,昇鋒投資股份有限公司(代表人吳美紅),葉文籐,葉文籐,總經理,戴溶瑩,07-3425301-5,1972/11/15,2000/09/11,新台幣                 10.0000元,1571481970,157148197,0,0,合併,每年,股東會,國票綜合證券股份有限公司,02-25288988,105411台北市松山區南京東路五段188號15樓,群智聯合會計師事務所,呂松裕會計師,張鈞富會計師,ST,10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.,07-3425694,shintailtd@gmail.com,www.goldenbrand.com.tw,葉文隆,法務處經理,07-3425301,shintailtd@gmail.com,http://www.goldenbrand.com.tw/stakeholder.php,http://www.goldenbrand.com.tw/invest.php,15.7148197
1236,宏亞食品股份有限公司,宏亞,食品工業,－,新北市新店區北新路一段86號20樓之6,34106066,張云綺,張云綺,許士彬,總經理特助,許士彬,(02)29180786,1976/06/14,2001/09/17,新台幣                 10.0000元,866740080,86674008,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2383-6888,台北市中正區忠孝西路一段6號6樓,安永聯合會計師事務所,徐榮煌,劉榮進,Hunya,"20F.-6, No.86, Sec. 1, Beixin Rd.,Xindian Dist., New Taipei City 23147",(02)29180706,hunya.com.tw,https://www.hunya.com.tw,徐富康,會計主管,(02)29180786,IR@hunya.com.tw,https://csr.hunya.com.tw/,https://www.hunya.com.tw/ir/management,8.6674008
1256,鮮活控股股份有限公司,鮮活果汁-KY,食品工業,KY,"Suite 102, Cannon Place, P.O. Box 712, North Sound Rd.",37759808,黃國晃,吳明憲,吳明憲,總經理,陳怡如,512-57515501,2010/01/12,2016/03/17,新台幣                 10.0000元,338421600,33842160,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-3393-0898,台北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,彭以驊,張至誼,Sunjuice,"Suite 102, Cannon Place, P.O. Box 712, North Sound Rd.Grand Cayman, KY1-9006",512-57515503,ky@myfreshjuice.com,https://www.myfreshjuice.com/,吳明憲,總經理 / 發言人,0972522666,sam.wu@myfreshjuice.com,https://www.myfreshjuice.com/category/stakeholders.html,https://www.myfreshjuice.com/category/directorate.html,3.384216
1315,達新工業股份有限公司,達新,塑膠工業,－,台中市西屯區工業區35路51號,51059101,吳子聰,陳以千,賴耿民,副總經理,陳明哲,04-23595511,1966/10/24,1992/05/09,新台幣                 10.0000元,990990000,99099000,0,0,合併,每半會計年度,董事會,中國信託商業銀行(股)公司代理部,02-66365566,台北市重慶南路一段83號5樓,國富浩華聯合會計師事務所,王戊昌,林志隆,TAH HSIN,"NO.51, 35TH RD.,TAICHUNG INDUSTRIAL PARK ,TAICHUNG ,TAIWAN, R.O.C",04-23595557,thst@mail.tahhsin.com.tw,www.tahhsin.com.tw,賴耿民,副總經理,04-23595511#1151,kmlai@mail.tahhsin.com.tw,www.tahhsin.com.tw,https://www.tahhsin.com.tw/internal-policies/,9.9099
1321,大洋塑膠工業股份有限公司,大洋,塑膠工業,－,"台北市莒光路310號5,6樓",15024509,陳欽明,陳欽明,邱俊福,經理,鄭有峰,(02)23062131,1965/06/07,1999/01/26,新台幣                 10.0000元,2272282680,227228268,0,0,合併,每年,股東會,凱基證券(股)公司股務代理部,(02)23148800,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,余聖河,羅瑞芝,OPC,"5F,310 CHUKWANG ROADTAIPEI,TAIWAN,R.O.C",(02)23027464,mauwau@opc.com.tw,www.opc.com.tw,鄭有峰,經理,23062131-1611,mauwau@opc.com.tw,https://www.opc.com.tw/zh-tw/a2/%E6%8A%95%E8%B3%87%E6%9C%8D%E5%8B%99.html,https://www.opc.com.tw/zh-tw/a2/%E6%8A%95%E8%B3%87%E6%9C%8D%E5%8B%99.html,22.7228268
1323,永裕塑膠工業股份有限公司,永裕,塑膠工業,－,台南市仁德區勝利路88號,68192103,王威程,王威程,郭錦添,副總經理,蔡崇誠,06-2793711,1973/04/02,2000/09/11,新台幣                 10.0000元,912745540,91274554,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,葉芳婷,徐惠榆,YONYU,"88 SHENG LI ROAD,RENDE  DISTRICT,TAINAN,TAIWANTainan ,Taiwan",06-2705088,kct3232@yonyu.com.tw,www.yonyu.com.tw,蔡崇誠,財務總監,+886-6-2793711#160,cct0368@yonyu.com.tw,http://www.yonyu.com.tw/yonyu/stakeholder.php,https://www.yonyu.com.tw/yonyu/ir.php,9.1274554
1324,地球綜合工業股份有限公司,地球,塑膠工業,－,台北市中山區南京東路3段61號7樓,7147916,鈞鼎投資股份有限公司(代表人張德照),黃林慶,張雅琪,財務部部長,曾嬿妤,(02)2506-6666,1964/12/08,2000/09/11,新台幣                 10.0000元,751218820,75121882,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,安永聯合會計師事務所,徐榮煌,楊弘斌,GLOBE TAPE,"7F.NO.61.SECTION 3,NANKING E ROADTAIPEI TAIWAN R.O.C.",(02)2507-0226,fet@globetape.com.tw,http://www.globetape.com.tw,張雅琪,財務部部長,(02)2506-6666,doris@globetape.com.tw,https://www.globetape.com/investor/corporate-governance/project/communicate-2,https://www.globetape.com/investor/corporate-governance,7.5121882
1325,恒大股份有限公司,恆大,塑膠工業,－,台北市林森北路372號10樓,11455800,黃美慧,黃美慧,周壽祿,協理,廖淑姬,(02)25119161,1962/10/14,2000/09/11,新台幣                 10.0000元,852811980,85281198,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,褚世蘭,陳昭伶,UK,"10F, 372, LIN SHEN N. ROADTAIPEI, TAIWAN, R.O.C.",(02)25374473,uk4409@ms34.hinet.net,www.uk.com.tw,周壽祿,協理,(02)25119161,slchou@uk.com.tw,www.uk.com.tw,https://www.uk.com.tw,8.5281198
1338,廣華控股有限公司,廣華-KY,汽車工業,KY,廣東省東莞市厚街鎮橋頭第三工業區,26594386,余澤民,黃建中,邱守瑞,財務協理,黃建中,0769-89278888,2009/12/08,2012/12/19,新台幣                 10.0000元,838400000,83840000,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號3樓,安侯建業聯合會計師事務所,陳宜君,江曉苓,Hiroca,"3rd Industrial Zone, Qiaotou, Houjie TownDongguan City, Guangdong Province, PRC",0769-85903818,hiroca@hirosawa.com.cn,www.hirosawa.com.cn,邱守瑞,財務協理,0903119680,hiroca@hirosawa.com.cn,www.hirosawa.com.cn,http://www.hirosawa.com.cn/zhili.asp?Enterpriseid=182,8.384
1339,昭輝實業股份有限公司,昭輝,汽車工業,－,彰化縣鹿港鎮興業路8號,22078327,禾翰投資股份有限公司,林睿澤,劉淑梅,副總經理,王淑慧,(04)7810781,1986/03/07,2012/04/24,新台幣                 10.0000元,741238750,74123875,0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-27463797,台北市松山區東興路八號地下一樓,資誠聯合會計師事務所,王玉娟,賴志維,Y.C.C.,"8, Xingye Rd., Lukang TownChung Hua Hsien, Taiwan ., R.O.C.",(04)7813209,ycc888@yccco.com.tw,http://www.yccco.com.tw,劉淑梅,副總經理,(04)7810781,ycc888@yccco.com.tw,http://www.yccco.com.tw/index.php?action=public-link,http://www.yccco.com.tw/index.php?action=public-org,7.4123875
1340,勝悅新材料有限公司,勝悅-KY,塑膠工業,KY,中國福建省晉江市青陽蓮嶼工業區,37722768,莊國清,莊輝煌,陳圖炎,財務長,郭燈佳,8659582889862,2012/06/14,2014/01/14,新台幣                 10.0000元,1529228550,152922855,0,0,合併,每年,股東會,永豐金證券公司股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,信永中和聯合會計師事務所,陳光慧,楊子陞,VICTORY,"Qingyang Lianyu Industrial AreaJinjiang, Fujian, China",8659585689208,peter.chen@sportspowersole.com,www.vnm.com.tw,陳圖炎,財務長,8659582889862,peter.chen@sportspowersole.com,www.vnm.com.tw,http://www.vnm.com.tw/index.php?temp=mng&lang=cht,15.2922855
1341,富林塑膠工業(開曼)控股(股)公司,富林-KY,塑膠工業,KY,越南海防市陽京郡海城坊范文同路第9里程,82716171,王源林,王源林(暫代),許乃仁,協理,徐鈿朋,(07)535-2366,2016/11/30,2018/12/24,新台幣                 10.0000元,528506340,52850634,0,0,合併,每季,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,王騰葦,陳珍麗,FULIN-KY,Km9 Pham Van Dong Hai Thanh Ward Duong Kinh DistrictHai Phong Viet Nam,(07)535-2368,acc@fulintw.com.tw,http://www.fulinvn.com,許乃仁,協理,075352366,acc@fulintw.com.tw,http://www.fulinvn.com/tc/investor_detail.php?PKey=101,http://www.fulinvn.com/tc/investor.php?PKey=6,5.2850634
1342,八貫企業股份有限公司,八貫,其他,－,宜蘭縣冬山鄉德興四路6號,12386676,劉宗熹,劉宗熹,李宏毅,副總經理,游憶敏,03-9109568,1982/06/17,2020/11/24,新台幣                 10.0000元,790589020,79058902,0,0,個別,每年,董事會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號11樓,安永聯合會計師事務所,張志銘,黃建澤,CCI Yilan,"No. 6, Dexing 4th Rd., Daxing Vil., Dongshan TownshipYilan County 269031, Taiwan (R.O.C.)",03-9903297,investor@cathay1342.com.tw,http://www.cathayconsolidated.com,李宏毅,副總經理,03-9109568,investor@cathay1342.com.tw,http://www.cathayconsolidated.com,https://www.cathayconsolidated.com/IN_Html/investor-a.html,7.9058902
1410,南洋染整股份有限公司,南染,紡織纖維,－,桃園市蘆竹區南山路三段二三三號,35286207,何  鈞,何承榮,張愛玉,發言人,孟家立,02-25940361,1964/12/22,1973/10/18,新台幣                 10.0000元,630000000,63000000,0,0,合併,每年,董事會,中國信託商銀代理部,02-66365566,台北市100重慶南路一段83號5樓,安侯建業聯合會計師事務所,余聖河,羅瑞芝,NYDF,"No.233, Sec. 3, Nanshan Rd.,Luzhu Dist., Taoyuan City 338, Taiwan",02-25919227,nydyeing@ms19.hinet.net,www.nydf.com.tw,張愛玉,發言人,02-25940361,nydyeing@ms19.hinet.net,http://www.nydf.com.tw/#[object%20Object],http://www.nydf.com.tw/#[object%20Object],6.3
1413,宏洲纖維工業股份有限公司,宏洲,紡織纖維,－,台北市內湖區瑞光路607號7樓,7220710,詹正田,詹正田,張恆嘉,董事,林勝欽,2657-5859,1968/07/30,1975/12/23,新台幣                 10.0000元,1321124540,132112454,30000000,0,個別,每年,董事會,福邦證券股份有限公司股務代理部,02-23711658,台北市忠孝西路一段6號6樓,安侯建業聯合會計師事務所,潘俊名,張淑瑩,H.C.,"7F., No.607, Ruiguang Rd., Neihu Dist., Taipei City 114, Taiwan (R.O.C.)TAIPEI TAIWAN",8797-7888,wallace@hungchou.com.tw,http://www.hungchou.com.tw/,張恆嘉,董事,02-26575859,albert@yijinn.com.tw,http://www.hungchou.com.tw/,http://www.hungchou.com.tw/,13.2112454
1414,東和紡織股份有限公司,東和,紡織纖維,－,台北市仁愛路四段376號13樓,73141105,蔡淑櫻,張嘉亨,張嘉亨,總經理,郭彥良,(02)27001840,1959/09/11,1976/02/02,新台幣                 10.0000元,2200000000,220000000,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號6樓,勤業眾信聯合會計師事務所,馬偉峻,謝東儒,TUNG HO,"13TH FLOOR NO376,SEC 4 JEN AI ROADTAIPEI,TAIWAN,R.O.C",(02)27060967,admsect@tungho.com.tw,www.tungho.com.tw,郭彥良,經理,(02)27001840,david@tungho.com.tw,http://www.tungho.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=244&index=1,－,22.0
1416,廣豐實業股份有限公司,廣豐,其他,－,台北市大安區敦化南路2段97號28樓,43434316,賀錫敬,劉家丞,陳素靜,會計經理,林黛芬,02-27048111,1968/06/28,1976/04/20,新台幣                 10.0000元,1853421680,185342168,0,0,合併,每年,股東會,元大證券股份有限公司,2586-5859,台北市大安區敦化南路2段67號B1,資誠聯合會計師事務所,賴宗羲　,支秉鈞,KFIC,"28th Floor, No. 97, Section 2, Dunhua South Road, Da'an District, Taipei City(Taipei,Taiwan",02-27061881,s.j.chern@kfic.com.tw,www.kfic.com.tw,陳素靜,會計經理,02-27048111#828,s.j.chern@kfic.com.tw,http://www.kfic.com.tw/shareholders.html,https://www.kfic.com.tw/shareholders.html(?????°??°T?§/???q?v?z?i?J),18.5342168
1417,嘉裕股份有限公司,嘉裕,紡織纖維,－,臺北市仁愛路四段25號7樓(通訊地址),11825825,陳陞,陳盈璋,陳盈璋,總經理,王壬輔,27113171,1969/12/12,1976/12/28,新台幣                 10.0000元,1899418400,189941840,0,0,合併,每年,股東會,公司股務課,25156421,新北市新店區中興路三段3號1樓,勤業眾信聯合會計師事務所,許秀明,陳培德,CARNIVAL,"7TH FL.,25 JEN AI ROAD.SEC.4TAIPEI,TAIWAN,R.O.C.",27811045,investor@carnival.com.tw,https://www.carnival.com.tw/index.php?lang=tw,王壬輔,資深經理,02-27113171,investor@carnival.com.tw,https://www.carnival.com.tw/article_d.php?lang=tw&tb=8&id=823,https://www.carnival.com.tw/???q?v?z,18.994184
1418,東華龍股份有限公司,東華,紡織纖維,－,台北市新生南路1段56號9樓,11083148,林壯儒,林壯燁,葉燕玲,協理,江志恒,(02)23967768,1970/03/02,1977/02/14,新台幣                 10.0000元,568343090,56834309,10000000,0,合併,每年,股東會,永豐金證券股務代理部,(02)23816288,台北市博愛路17號3樓,正風聯合會計師事務所,吳欣亮,賴家裕,TongHwa,"9F., No.56, Sec. 1, Xinsheng S. Rd.,Taipei City 100, Taiwan (R.O.C.)",(02)23962568,thsf@ms22.hinet.net,www.tonghwa.com.tw,葉燕玲,協理,(02)23967768,thsf@ms22.hinet.net,www.tonghwa.com.tw,www.tonghwa.com.tw,5.6834309
1423,利華羊毛工業股份有限公司,利華,紡織纖維,－,台北市忠孝東路四段310號12樓,11311608,應柔爾,洪志成,洪志成,總經理,楊遵五,02-27811161,1964/07/23,1979/04/02,新台幣                 10.0000元,996480000,99648000,0,0,個別,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,余倩如,王彥鈞,REWARD WOOL,"12th Floor, 310 Sec. 4, Chung Hsiao East RoadTaipei, 106 , Taiwan, R. O. C.",02-27521193,reward@reward.com.tw,www.reward.com.tw,楊遵五,經理,886-2-27811161,ir@reward.com.tw,www.reward.com.tw/contact.htm,www.reward.com.tw/default.htm,9.9648
1432,大魯閣實業股份有限公司,大魯閣,運動休閒,－,台中市東區復興路4段186號,4690983,林曼麗,王盈之,許俊麒,總顧問,羅淑敏,0436118888,1973/07/18,1982/07/26,新台幣                 10.0000元,1080000000,108000000,18000000,0,合併,每年,股東會,華南永昌綜合證券股份有限公司,02-27186425,台北市民生東路四段54號4樓,資誠聯合會計師事務所,王方瑜,林冠宏,TAROKO,"No186, Sec 4, Fusing Rd., East Dist.,Taichung, Taiwan, R.O.C.",0436080809,will.chen@trkmall.com.tw,https://www.taroko.com.tw/,許俊麒,總顧問,0436118888,kelly.lo@trkmall.com.tw,https://www.taroko.com.tw/crs-stakeholder-01/,https://www.taroko.com.tw/board-of-directors-01/,10.8
1435,中福國際(股)公司,中福,其他,－,新北市中和區景平路666號2樓,3101946,陳建,陸榮木,陳建,董事長,陸榮木,(02)82422881,1971/01/15,1987/12/28,新台幣                 10.0000元,1397800800,139780080,0,0,個別,每年,股東會,宏遠證券(股)公司股務代理部,(02)2326-8818,台北市信義路4段236號3樓,冠恆&#32852;合會計師事務所,張進德,朱淑梅,C.F.CORP.,"2FL., No. 666, JING PING RD.,ZHONGHE DIST,NEWTAIPEI CITY, R.O.C.",(02)22457595,ir@chungfutex.com.tw,www.chungfutex.com.tw,陳建,董事長,(02)82422881,ir@chungfutex.com.tw,www.chungfutex.com.tw,http://www.chungfutex.com.tw,13.978008
